lipid_variable,lipid_label,diet_variable,selection_count,selection_frequency,coef_mean,coef_std,alpha_mean,alpha_std,bootstrap_iterations,bootstrap_sample_size,effective_sample_size,diet_display
triglycerides_mmol_L_log,log(Triglycerides),diet_animal_fat_spread_lower_fat_24h,15,0.75,0.0030908385931979867,0.004538512378814225,0.0027508871675149802,0.0005643446105112285,20,10925,10925,Animal fat spread lower fat 24h
triglycerides_mmol_L_log,log(Triglycerides),diet_animal_fat_spread_normal_24h,20,1.0,0.008731369057204574,0.0041172161701036065,0.0027508871675149802,0.0005643446105112285,20,10925,10925,Animal fat spread normal 24h
triglycerides_mmol_L_log,log(Triglycerides),diet_added_sugars_and_preserves_24h,20,1.0,0.014286811510100961,0.0036955132605207574,0.0027508871675149802,0.0005643446105112285,20,10925,10925,Added sugars and preserves 24h
triglycerides_mmol_L_log,log(Triglycerides),diet_allium_vegetables_24h,18,0.9,0.004900075496698264,0.003733556000975352,0.0027508871675149802,0.0005643446105112285,20,10925,10925,Allium vegetables 24h
triglycerides_mmol_L_log,log(Triglycerides),diet_beef_24h,13,0.65,-0.0023300194749936052,0.00414892610179108,0.0027508871675149802,0.0005643446105112285,20,10925,10925,Beef 24h
triglycerides_mmol_L_log,log(Triglycerides),diet_beer_and_cider_24h,13,0.65,-0.0026553885923931374,0.0037522700708829786,0.0027508871675149802,0.0005643446105112285,20,10925,10925,Beer and cider 24h
triglycerides_mmol_L_log,log(Triglycerides),diet_biscuits_24h,9,0.45,0.0008455900446278974,0.0028748892028469435,0.0027508871675149802,0.0005643446105112285,20,10925,10925,Biscuits 24h
triglycerides_mmol_L_log,log(Triglycerides),diet_breaded_battered_chicken_24h,19,0.95,-0.013984128856100142,0.0052754712922172846,0.0027508871675149802,0.0005643446105112285,20,10925,10925,Breaded/battered chicken 24h
triglycerides_mmol_L_log,log(Triglycerides),diet_breaded_battered_fish_24h,20,1.0,-0.00915209850672909,0.004515516016743393,0.0027508871675149802,0.0005643446105112285,20,10925,10925,Breaded/battered fish 24h
triglycerides_mmol_L_log,log(Triglycerides),diet_mixed_bread_50_50_brown_and_seeded_24h,14,0.7,0.003911072108894587,0.004265699531140343,0.0027508871675149802,0.0005643446105112285,20,10925,10925,"Mixed bread (50/50), brown and seeded 24h"
triglycerides_mmol_L_log,log(Triglycerides),diet_other_bread_24h,20,1.0,0.010239475220441819,0.0041906149337287415,0.0027508871675149802,0.0005643446105112285,20,10925,10925,Other bread 24h
triglycerides_mmol_L_log,log(Triglycerides),diet_white_bread_24h,20,1.0,0.014569939218927176,0.005933219463258833,0.0027508871675149802,0.0005643446105112285,20,10925,10925,White bread 24h
triglycerides_mmol_L_log,log(Triglycerides),diet_wholemeal_bread_24h,8,0.4,-0.0007681577350012958,0.001879695011281913,0.0027508871675149802,0.0005643446105112285,20,10925,10925,Wholemeal bread 24h
triglycerides_mmol_L_log,log(Triglycerides),diet_biscuit_cereal_24h,18,0.9,0.0074477751681115475,0.004756089074106696,0.0027508871675149802,0.0005643446105112285,20,10925,10925,Biscuit cereal 24h
triglycerides_mmol_L_log,log(Triglycerides),diet_bran_cereal_24h,17,0.85,0.0031372578712762335,0.0032201807824264106,0.0027508871675149802,0.0005643446105112285,20,10925,10925,Bran cereal 24h
triglycerides_mmol_L_log,log(Triglycerides),diet_oat_cereal_non_sugar_24h,20,1.0,-0.010900362045504153,0.003609960417717786,0.0027508871675149802,0.0005643446105112285,20,10925,10925,Oat cereal (non sugar) 24h
triglycerides_mmol_L_log,log(Triglycerides),diet_oat_cereal_sugar_24h,20,1.0,0.007522383506875485,0.003378798185711354,0.0027508871675149802,0.0005643446105112285,20,10925,10925,Oat cereal (sugar) 24h
triglycerides_mmol_L_log,log(Triglycerides),diet_other_cereal_sugar_24h,19,0.95,0.007102249946910888,0.004823440260931488,0.0027508871675149802,0.0005643446105112285,20,10925,10925,Other cereal (sugar) 24h
triglycerides_mmol_L_log,log(Triglycerides),diet_chocolate_confectionery_24h,17,0.85,0.003908233434776776,0.0032979634421728657,0.0027508871675149802,0.0005643446105112285,20,10925,10925,Chocolate confectionery 24h
triglycerides_mmol_L_log,log(Triglycerides),diet_coffee_caffeinated_24h,11,0.55,-0.0002090878930175677,0.0017939933133108178,0.0027508871675149802,0.0005643446105112285,20,10925,10925,"Coffee, caffeinated 24h"
triglycerides_mmol_L_log,log(Triglycerides),diet_coffee_decaffeinated_24h,19,0.95,0.0051706989208469166,0.0040140077817029515,0.0027508871675149802,0.0005643446105112285,20,10925,10925,"Coffee, decaffeinated 24h"
triglycerides_mmol_L_log,log(Triglycerides),diet_savoury_crackers_24h,19,0.95,-0.0068087333493167534,0.003749958079069924,0.0027508871675149802,0.0005643446105112285,20,10925,10925,Savoury crackers 24h
triglycerides_mmol_L_log,log(Triglycerides),diet_milk_dairy_desserts_24h,20,1.0,0.009830241580493749,0.003433296253441182,0.0027508871675149802,0.0005643446105112285,20,10925,10925,Milk-dairy desserts 24h
triglycerides_mmol_L_log,log(Triglycerides),diet_other_desserts_and_cakes_and_pastries_24h,12,0.6,-0.002460861469444353,0.0027979040007936216,0.0027508871675149802,0.0005643446105112285,20,10925,10925,Other desserts and cakes and pastries 24h
triglycerides_mmol_L_log,log(Triglycerides),diet_soy_desserts_and_yogurt_24h,12,0.6,0.0012242771241290028,0.001805045844717812,0.0027508871675149802,0.0005643446105112285,20,10925,10925,Soy desserts and yogurt 24h
triglycerides_mmol_L_log,log(Triglycerides),diet_milk_based_and_powdered_drinks_24h,12,0.6,-0.0021686838677851482,0.00314114424367514,0.0027508871675149802,0.0005643446105112285,20,10925,10925,Milk-based and powdered drinks 24h
triglycerides_mmol_L_log,log(Triglycerides),diet_egg_and_egg_dishes_24h,8,0.4,-0.00010518355993553996,0.0018484782132191827,0.0027508871675149802,0.0005643446105112285,20,10925,10925,Egg and egg dishes 24h
triglycerides_mmol_L_log,log(Triglycerides),diet_apples_and_pears_24h,19,0.95,-0.007486107241129502,0.003305932405561923,0.0027508871675149802,0.0005643446105112285,20,10925,10925,Apples and pears 24h
triglycerides_mmol_L_log,log(Triglycerides),diet_berries_24h,10,0.5,0.001636886840333318,0.0034260021193801174,0.0027508871675149802,0.0005643446105112285,20,10925,10925,Berries 24h
triglycerides_mmol_L_log,log(Triglycerides),diet_citrus_24h,11,0.55,-0.0006235166525584646,0.0026271985873077075,0.0027508871675149802,0.0005643446105112285,20,10925,10925,Citrus 24h
triglycerides_mmol_L_log,log(Triglycerides),diet_dried_fruit_24h,15,0.75,0.0038240338675677777,0.004137819538519085,0.0027508871675149802,0.0005643446105112285,20,10925,10925,Dried fruit 24h
triglycerides_mmol_L_log,log(Triglycerides),diet_other_fruit_24h,7,0.35,-0.0009921056665916695,0.0034496230673699835,0.0027508871675149802,0.0005643446105112285,20,10925,10925,Other fruit 24h
triglycerides_mmol_L_log,log(Triglycerides),diet_stewed_fruit_24h,19,0.95,0.005869729456026107,0.0031223484075631382,0.0027508871675149802,0.0005643446105112285,20,10925,10925,Stewed fruit 24h
triglycerides_mmol_L_log,log(Triglycerides),diet_fruit_juice_24h,20,1.0,0.01081876689568162,0.005398088459930291,0.0027508871675149802,0.0005643446105112285,20,10925,10925,Fruit juice 24h
triglycerides_mmol_L_log,log(Triglycerides),diet_full_fat_yogurt_24h,15,0.75,-0.0019487209676299245,0.0030644440631151125,0.0027508871675149802,0.0005643446105112285,20,10925,10925,Full fat yogurt 24h
triglycerides_mmol_L_log,log(Triglycerides),diet_grain_dishes_added_fat_24h,11,0.55,0.0015307431196561084,0.0026913096813915263,0.0027508871675149802,0.0005643446105112285,20,10925,10925,Grain dishes - added fat 24h
