lipid_variable,lipid_label,diet_variable,diet_label,partial_spearman_r,p_value,neg_log10_p,n,small_sample,covariates_used,abs_r
triglycerides_mmol_L_log,Triglycerides (log),diet_cooked_vegetable_intake,Cooked vegetable intake,-0.019164490520214367,1.3506454363975538e-28,27.869458644483434,335010,False,"cov_age_at_assessment, cov_body_mass_index, cov_fasting_time, cov_sex_Male, cov_alcohol_status_Never, cov_alcohol_status_Prefer not to answer, cov_alcohol_status_Previous, cov_current_smoking_Only occasionally, cov_current_smoking_Prefer not to answer, cov_current_smoking_Yes, on most or all days",0.019164490520214367
triglycerides_mmol_L_log,Triglycerides (log),diet_salad_raw_vegetable_intake,Salad / raw vegetable intake,-0.03764996408328546,1.4532156449406488e-102,101.83766993528302,325966,False,"cov_age_at_assessment, cov_body_mass_index, cov_fasting_time, cov_sex_Male, cov_alcohol_status_Never, cov_alcohol_status_Prefer not to answer, cov_alcohol_status_Previous, cov_current_smoking_Only occasionally, cov_current_smoking_Prefer not to answer, cov_current_smoking_Yes, on most or all days",0.03764996408328546
triglycerides_mmol_L_log,Triglycerides (log),diet_fresh_fruit_intake,Fresh fruit intake,-0.03509461216284482,2.0524503858965317e-91,90.68772733232876,333628,False,"cov_age_at_assessment, cov_body_mass_index, cov_fasting_time, cov_sex_Male, cov_alcohol_status_Never, cov_alcohol_status_Prefer not to answer, cov_alcohol_status_Previous, cov_current_smoking_Only occasionally, cov_current_smoking_Prefer not to answer, cov_current_smoking_Yes, on most or all days",0.03509461216284482
triglycerides_mmol_L_log,Triglycerides (log),diet_dried_fruit_intake,Dried fruit intake,-0.010182790766070485,1.1460787616960982e-08,7.940785535427428,314158,False,"cov_age_at_assessment, cov_body_mass_index, cov_fasting_time, cov_sex_Male, cov_alcohol_status_Never, cov_alcohol_status_Prefer not to answer, cov_alcohol_status_Previous, cov_current_smoking_Only occasionally, cov_current_smoking_Prefer not to answer, cov_current_smoking_Yes, on most or all days",0.010182790766070485
triglycerides_mmol_L_log,Triglycerides (log),diet_oily_fish_intake,Oily fish intake,0.02429670825282382,2.3120274693685113e-46,45.63600701033616,346114,False,"cov_age_at_assessment, cov_body_mass_index, cov_fasting_time, cov_sex_Male, cov_alcohol_status_Never, cov_alcohol_status_Prefer not to answer, cov_alcohol_status_Previous, cov_current_smoking_Only occasionally, cov_current_smoking_Prefer not to answer, cov_current_smoking_Yes, on most or all days",0.02429670825282382
triglycerides_mmol_L_log,Triglycerides (log),diet_non_oily_fish_intake,Non-oily fish intake,0.008991990068844359,1.221784369177649e-07,6.913005435287917,346114,False,"cov_age_at_assessment, cov_body_mass_index, cov_fasting_time, cov_sex_Male, cov_alcohol_status_Never, cov_alcohol_status_Prefer not to answer, cov_alcohol_status_Previous, cov_current_smoking_Only occasionally, cov_current_smoking_Prefer not to answer, cov_current_smoking_Yes, on most or all days",0.008991990068844359
triglycerides_mmol_L_log,Triglycerides (log),diet_processed_meat_intake,Processed meat intake,-0.01194565807359844,2.0947030650429132e-12,11.678877531816106,346114,False,"cov_age_at_assessment, cov_body_mass_index, cov_fasting_time, cov_sex_Male, cov_alcohol_status_Never, cov_alcohol_status_Prefer not to answer, cov_alcohol_status_Previous, cov_current_smoking_Only occasionally, cov_current_smoking_Prefer not to answer, cov_current_smoking_Yes, on most or all days",0.01194565807359844
triglycerides_mmol_L_log,Triglycerides (log),diet_poultry_intake,Poultry intake,0.006578619380512558,0.00010869020327288655,3.9638095990256295,346114,False,"cov_age_at_assessment, cov_body_mass_index, cov_fasting_time, cov_sex_Male, cov_alcohol_status_Never, cov_alcohol_status_Prefer not to answer, cov_alcohol_status_Previous, cov_current_smoking_Only occasionally, cov_current_smoking_Prefer not to answer, cov_current_smoking_Yes, on most or all days",0.006578619380512558
triglycerides_mmol_L_log,Triglycerides (log),diet_beef_intake,Beef intake,0.012734423270299274,6.776832081415125e-14,13.168973275318852,346114,False,"cov_age_at_assessment, cov_body_mass_index, cov_fasting_time, cov_sex_Male, cov_alcohol_status_Never, cov_alcohol_status_Prefer not to answer, cov_alcohol_status_Previous, cov_current_smoking_Only occasionally, cov_current_smoking_Prefer not to answer, cov_current_smoking_Yes, on most or all days",0.012734423270299274
triglycerides_mmol_L_log,Triglycerides (log),diet_lamb_mutton_intake,Lamb/mutton intake,0.003964652943184798,0.019676309291519412,1.706056359392618,346114,False,"cov_age_at_assessment, cov_body_mass_index, cov_fasting_time, cov_sex_Male, cov_alcohol_status_Never, cov_alcohol_status_Prefer not to answer, cov_alcohol_status_Previous, cov_current_smoking_Only occasionally, cov_current_smoking_Prefer not to answer, cov_current_smoking_Yes, on most or all days",0.003964652943184798
triglycerides_mmol_L_log,Triglycerides (log),diet_pork_intake,Pork intake,0.00606531630337181,0.00035925874804220597,3.4445926478835043,346114,False,"cov_age_at_assessment, cov_body_mass_index, cov_fasting_time, cov_sex_Male, cov_alcohol_status_Never, cov_alcohol_status_Prefer not to answer, cov_alcohol_status_Previous, cov_current_smoking_Only occasionally, cov_current_smoking_Prefer not to answer, cov_current_smoking_Yes, on most or all days",0.00606531630337181
triglycerides_mmol_L_log,Triglycerides (log),diet_age_when_last_ate_meat,Age when last ate meat,-0.0353798764374485,8.987950432904893e-06,5.046339331310235,15743,False,"cov_age_at_assessment, cov_body_mass_index, cov_fasting_time, cov_sex_Male, cov_alcohol_status_Never, cov_alcohol_status_Prefer not to answer, cov_alcohol_status_Previous, cov_current_smoking_Only occasionally, cov_current_smoking_Prefer not to answer, cov_current_smoking_Yes, on most or all days",0.0353798764374485
